pair_id,jd_id,jd_title,jd_text,resume_id,resume_text,gold_skills,human_relevance
1,jd_backend,Backend Engineer,"Backend Engineer needed. Must have Python, PostgreSQL, REST API design, Docker, and AWS experience. 3+ years building production services.",r1,"Backend engineer with 4 years experience. Built REST APIs in Python using FastAPI and Flask, deployed on AWS with Docker containers. Designed PostgreSQL schemas for a multi-tenant SaaS product.",Python;PostgreSQL;REST API;Docker;AWS,3
2,jd_backend,Backend Engineer,"Backend Engineer needed. Must have Python, PostgreSQL, REST API design, Docker, and AWS experience. 3+ years building production services.",r2,"Software engineer, 2 years. Worked mostly in Java and Spring Boot for internal tools. Some exposure to MySQL. No cloud deployment experience.",Java;Spring Boot;MySQL,0
3,jd_backend,Backend Engineer,"Backend Engineer needed. Must have Python, PostgreSQL, REST API design, Docker, and AWS experience. 3+ years building production services.",r3,"Python developer, 3 years. Built Django REST APIs and used PostgreSQL for data storage. Deployed to Render, not AWS. Familiar with Docker basics.",Python;Django;REST API;PostgreSQL;Docker,2
4,jd_backend,Backend Engineer,"Backend Engineer needed. Must have Python, PostgreSQL, REST API design, Docker, and AWS experience. 3+ years building production services.",r4,"Marketing coordinator with 5 years experience running social media campaigns and email marketing funnels. No engineering background.",Marketing;Email Campaigns,0
5,jd_backend,Backend Engineer,"Backend Engineer needed. Must have Python, PostgreSQL, REST API design, Docker, and AWS experience. 3+ years building production services.",r5,"Senior backend engineer, 6 years. Python and Go microservices on AWS (ECS, Lambda), PostgreSQL and Redis, full CI/CD with Docker and GitHub Actions.",Python;Go;AWS;PostgreSQL;Redis;Docker,3
6,jd_data_scientist,Data Scientist,"Data Scientist role. Requires Python, Pandas, Machine Learning, SQL, and scikit-learn. Experience with A/B testing a plus.",r6,"Data scientist with 3 years experience. Daily use of Python, Pandas, and scikit-learn for churn prediction models. Writes complex SQL for feature extraction. Ran multiple A/B tests.",Python;Pandas;Machine Learning;SQL;scikit-learn;A/B Testing,3
7,jd_data_scientist,Data Scientist,"Data Scientist role. Requires Python, Pandas, Machine Learning, SQL, and scikit-learn. Experience with A/B testing a plus.",r7,"Business analyst, 4 years. Builds Tableau dashboards and writes SQL reports for leadership. No Python or modeling experience.",SQL;Tableau,1
8,jd_data_scientist,Data Scientist,"Data Scientist role. Requires Python, Pandas, Machine Learning, SQL, and scikit-learn. Experience with A/B testing a plus.",r8,"ML engineer, 2 years. Deep learning with PyTorch and TensorFlow for computer vision. Limited classical ML or Pandas/SQL work.",PyTorch;TensorFlow;Deep Learning;Computer Vision,1
9,jd_data_scientist,Data Scientist,"Data Scientist role. Requires Python, Pandas, Machine Learning, SQL, and scikit-learn. Experience with A/B testing a plus.",r9,"Graduate student, published research using Python, Pandas, NumPy and scikit-learn for classification models on public health data. SQL coursework only.",Python;Pandas;NumPy;scikit-learn;Machine Learning,2
10,jd_data_scientist,Data Scientist,"Data Scientist role. Requires Python, Pandas, Machine Learning, SQL, and scikit-learn. Experience with A/B testing a plus.",r10,"Warehouse operations manager, 8 years. Manages logistics staff and inventory systems. No data or programming background.",Operations;Logistics,0
11,jd_genai_engineer,GenAI/LLM Engineer,"GenAI Engineer needed. Must know Python, LLM, RAG, LangChain, OpenAI API, and Prompt Engineering. Building production AI features.",r11,"AI engineer, 2 years. Built a RAG pipeline with LangChain and OpenAI API over internal documentation, including prompt engineering and evaluation. Python throughout.",Python;LLM;RAG;LangChain;OpenAI API;Prompt Engineering,3
12,jd_genai_engineer,GenAI/LLM Engineer,"GenAI Engineer needed. Must know Python, LLM, RAG, LangChain, OpenAI API, and Prompt Engineering. Building production AI features.",r12,"Frontend developer, 3 years. React and TypeScript, some integration work calling third-party AI APIs from the UI but no backend AI pipeline work.",React;TypeScript;JavaScript,1
13,jd_genai_engineer,GenAI/LLM Engineer,"GenAI Engineer needed. Must know Python, LLM, RAG, LangChain, OpenAI API, and Prompt Engineering. Building production AI features.",r13,"Backend engineer, 4 years, Python and Node.js APIs. No GenAI or LLM experience, purely CRUD services.",Python;Node.js;REST API,0
14,jd_genai_engineer,GenAI/LLM Engineer,"GenAI Engineer needed. Must know Python, LLM, RAG, LangChain, OpenAI API, and Prompt Engineering. Building production AI features.",r14,"ML researcher, 5 years. Fine-tuned Hugging Face transformer models and built LLM evaluation harnesses in Python, some LangChain experimentation.",Python;Hugging Face;LLM;LangChain,2
15,jd_genai_engineer,GenAI/LLM Engineer,"GenAI Engineer needed. Must know Python, LLM, RAG, LangChain, OpenAI API, and Prompt Engineering. Building production AI features.",r15,"Sales representative, 6 years, B2B software sales, no technical background.",Sales;Negotiation,0
